Angle (Deg),ABH,AMH,APH,ARH,CBB,CBH,CMB,CMH,CPH,CRB,SMN,SPN
160,0.087226,0.022503,0.510994,0.005607,0.012052,0.286911,0.112375,0.070342,0.600911,0.162019,0.752408,4.145745
158,0.071414,0.020386,0.426103,0.004998,0.010033,0.23129,0.06237,0.057455,0.503221,0.135161,0.641016,3.809421
156,0.058889,0.018055,0.357547,0.004549,0.008497,0.190463,0.036819,0.047729,0.412624,0.111803,0.56453,3.517628
154,0.050878,0.016348,0.30552,0.004178,0.007331,0.158049,0.022027,0.041046,0.345791,0.094097,0.508402,3.274585
152,0.042683,0.015049,0.258709,0.003809,0.007308,0.133653,0.014348,0.039908,0.292233,0.082729,0.465903,3.041367
150,0.036275,0.013583,0.222224,0.003531,0.006632,0.111907,0.011201,0.034654,0.245033,0.07143,0.430379,2.833945
148,0.032002,0.012236,0.219727,0.003248,0.005835,0.094936,0.008484,0.028933,0.205932,0.06089,0.402289,2.667202
146,0.028056,0.010812,0.190934,0.00298,0.005007,0.080085,0.007797,0.02866,0.175569,0.054296,0.366576,2.494351
144,0.024278,0.009483,0.165475,0.002743,0.00434,0.06763,0.007122,0.024668,0.15024,0.048169,0.334699,2.315082
142,0.021241,0.009083,0.14426,0.002617,0.003987,0.057143,0.006144,0.021543,0.128349,0.042008,0.304907,2.13642
140,0.01949,0.008204,0.125697,0.002436,0.003516,0.048643,0.005704,0.018513,0.110316,0.036902,0.273385,1.990718
138,0.01803,0.007286,0.109791,0.002211,0.003089,0.041229,0.005386,0.015907,0.095996,0.032032,0.247881,1.85343
136,0.015888,0.006653,0.096012,0.001981,0.002853,0.035262,0.004969,0.013888,0.084329,0.028758,0.222157,1.714525
134,0.013924,0.006039,0.085294,0.001827,0.002608,0.03056,0.004197,0.012235,0.072397,0.025806,0.201993,1.589447
132,0.012624,0.005398,0.073959,0.001681,0.002302,0.02595,0.003603,0.010842,0.071966,0.022431,0.181386,1.486311
130,0.011563,0.00484,0.066381,0.001588,0.002058,0.022514,0.003345,0.009666,0.064406,0.019531,0.167596,1.398677
128,0.010942,0.004351,0.060216,0.001468,0.00184,0.019638,0.002987,0.008233,0.057199,0.017856,0.154883,1.308037
126,0.009828,0.003926,0.054637,0.001376,0.001719,0.017193,0.002739,0.007294,0.051705,0.016165,0.14373,1.218239
124,0.008473,0.003642,0.049728,0.001322,0.001585,0.015295,0.002593,0.006621,0.046489,0.014564,0.133122,1.14712
122,0.008489,0.00333,0.045207,0.001267,0.001447,0.013702,0.002452,0.005881,0.046052,0.013157,0.122515,1.07874
120,0.007984,0.003151,0.041488,0.001202,0.001321,0.012351,0.002266,0.005439,0.042324,0.011645,0.112438,1.005781
118,0.007756,0.003011,0.038473,0.001126,0.001269,0.011257,0.002149,0.004967,0.038517,0.010535,0.103422,0.928058
116,0.007036,0.00279,0.035627,0.001104,0.001202,0.010217,0.001988,0.004564,0.03507,0.009917,0.095996,0.856836
114,0.006491,0.00257,0.033092,0.001066,0.001125,0.009544,0.001864,0.004225,0.032188,0.008667,0.089102,0.802637
112,0.006254,0.002459,0.030558,0.00105,0.001072,0.008445,0.001793,0.003926,0.0298,0.007993,0.081677,0.732079
110,0.005954,0.002289,0.028368,0.001022,0.001006,0.007814,0.001767,0.003627,0.027631,0.007584,0.07197,0.684814
108,0.005667,0.002121,0.025647,0.001017,0.000947,0.007236,0.001698,0.003421,0.025053,0.007195,0.064737,0.645753
106,0.005227,0.002051,0.023982,0.001012,0.000906,0.00678,0.001582,0.003251,0.023399,0.006699,0.05895,0.614538
104,0.004958,0.001981,0.022514,0.001001,0.00085,0.006275,0.001439,0.003106,0.021746,0.006112,0.055203,0.595628
102,0.004753,0.001891,0.021159,0.000984,0.000783,0.005879,0.001352,0.00298,0.020333,0.005604,0.052983,0.571553
100,0.004644,0.001876,0.019729,0.000968,0.00075,0.005534,0.001276,0.002851,0.01932,0.005314,0.051854,0.55582
98,0.004443,0.001838,0.018537,0.000952,0.000731,0.00525,0.001183,0.002696,0.018169,0.00512,0.050451,0.546181
96,0.004238,0.001764,0.017501,0.000941,0.0007,0.004981,0.001104,0.002585,0.017228,0.004806,0.048644,0.538315
94,0.003976,0.00173,0.016641,0.000935,0.000678,0.004744,0.001016,0.002488,0.016236,0.00449,0.047196,0.53017
92,0.003836,0.001677,0.015907,0.00093,0.000653,0.004504,0.000972,0.002302,0.015396,0.004322,0.045931,0.521066
90,0.003841,0.001621,0.015295,0.000914,0.000629,0.004388,0.000907,0.002246,0.014711,0.004239,0.045026,0.511555
88,0.003642,0.001588,0.014684,0.000899,0.000611,0.004191,0.000867,0.002155,0.014071,0.004139,0.044484,0.510162
86,0.003531,0.001555,0.014101,0.000892,0.000598,0.004178,0.000809,0.002096,0.013488,0.003923,0.044325,0.509826
84,0.00347,0.001503,0.013398,0.000892,0.000591,0.003932,0.000783,0.002045,0.012974,0.003705,0.044778,0.509971
82,0.003444,0.001491,0.012664,0.000881,0.000585,0.003883,0.000753,0.002001,0.012591,0.003602,0.045177,0.508727
80,0.003362,0.00149,0.012175,0.000876,0.000571,0.003907,0.000737,0.00195,0.01216,0.003529,0.045388,0.509971
78,0.003295,0.001467,0.01193,0.000881,0.000555,0.003681,0.00072,0.001904,0.012158,0.003404,0.045388,0.514707
76,0.003231,0.001459,0.011685,0.000887,0.000544,0.003667,0.000712,0.001844,0.011895,0.003292,0.044945,0.521023
