Angle (Deg),WP05_1,WP05_2,WP05_3,WP06_1,WP06_2,WP06_3
90,5.719195,8.537326,7.759083,6.259933,7.617376,7.254364
88,14.253789,17.954862,20.494496,13.001348,10.175405,16.781622
86,28.2294,31.48974,33.320088,41.702668,49.993248,29.385782
84,41.181108,46.5744,63.590332,64.912944,69.758768,42.59422
82,54.100656,65.287948,87.136976,74.832928,82.718424,57.406852
80,71.981264,90.346384,103.278176,109.779712,99.949144,70.348272
78,82.03568,98.031336,122.72608,96.53164,128.99504,91.657216
76,91.497848,113.148904,150.752976,121.661288,150.15408,108.4374
74,113.207512,132.892832,164.410864,130.4972,168.836432,127.330904
72,120.954136,157.009552,187.743088,128.647544,187.37768,148.930016
70,140.84632,173.67032,225.118,150.284416,207.282112,160.221696
68,163.741472,185.07456,238.276,163.949024,221.021,183.10584
66,162.833488,215.65,277.458,168.741968,261.551,199.860496
64,186.28728,227.345,273.413,190.852304,269.936,221.078
62,198.219648,234.703,294.946,214.008768,301.632,228.528
60,203.796768,263.169,316.487,217.025,315.491,259.887
58,241.1,290.69,342.273,236.614,318.911,258.72
56,244.269,304.103,368.8,236.419,347.776,283.092
54,283.181,315.19,365.155,261.28,359.362,302.712
52,270.226,339.664,383.367,256.297,378.888,310.988
50,273.834,370.382,429.873,265.621,395.982,325.6
48,307.853,384.013,433.7,293.186,413.26,342.031
46,298.869,399.41,452.593,319.433,434.256,362.903
44,305.229,412.098,464.548,314.296,452.548,380.757
42,308.999,414.843,464.134,323.25,473.987,395.724
40,326.706,449.924,491.971,323.984,456.573,417.259
38,337.715,457.162,524.42,345.542,479.594,440.669
36,361.686,475.519,532.226,356.75,489.768,433.395
34,361.155,510.083,540.826,366.298,506.858,472.224
32,381.47,517.902,544.973,369.167,521.99,465.879
30,382.499,541.779,562.708,403.443,544.904,498.012
28,375.442,547.939,584.362,392.35,569.291,515.445
26,397.133,574.888,603.352,401.156,551.987,496.18
24,387.165,605.556,609.719,398.87,557.698,528.95
22,423.079,612.871,611.059,424.014,568.038,537.998
20,408.067,633.922,626.015,420.559,571.608,552.678
18,428.015,619.876,610.858,412.079,563.618,564.958
16,446.812,661.475,609.805,425.594,589.892,575.491
14,424.577,655.356,649.553,437.316,588.346,581.67
12,450.032,692.26,637.191,451.817,594.582,555.007
10,447.897,710.109,645.536,446.574,596.599,566.861
