Angle (Deg),WP05_1,WP05_2,WP05_3,WP06_1,WP06_2,WP06_3
90,5.719195,8.537326,7.759083,6.259933,7.617376,7.254364
88,-1.377590875,-6.827584704,-2.034385503,-2.58385984,-10.64559983,-3.0015416
86,-3.014315321,-18.04495981,-11.71022703,10.55124049,8.376605521,-10.15644246
84,-5.636877112,-27.65220252,-3.886554064,18.23325004,7.397191343,-16.65888922
82,-8.234558401,-33.54012355,-2.704270901,12.68183961,-0.31210886,-21.48495118
80,-5.795233832,-32.96274979,-8.817974018,32.23295071,-3.649185148,-28.08610764
78,-11.08734258,-49.60862685,-11.48840124,3.683684585,4.95513317,-26.19981297
76,-16.85824327,-58.64201136,-5.416316798,13.62525939,5.823719007,-28.69868766
74,-10.24963276,-62.8397351,-13.52297212,7.404723463,4.391461157,-28.91716316
72,-17.45364873,-62.42619686,-11.73850648,-9.351411246,3.018450173,-26.23966645
70,-12.34347614,-69.20126196,4.331684758,-2.452887486,3.233236512,-33.65618447
68,-4.043697371,-80.93695344,-3.546041887,-3.340540848,-2.468919025,-29.24402815
66,-19.34263422,-73.17735088,14.89485438,-12.89604164,18.89232548,-30.70264423
64,-10.05784153,-83.94629668,-9.571356614,-4.912852506,8.404212197,-27.41750664
62,-12.05525656,-98.67298198,-8.114794755,4.35497432,21.54573511,-37.59711955
60,-20.151732,-91.8855,-6.281,-6.262,17.1915,-23.5435
58,3.750751308,-85.61043881,0.191037844,-0.034165506,2.761696878,-41.67056404
56,-6.191823886,-92.98491349,7.820849865,-13.30201167,14.16207298,-33.89264845
54,19.91374885,-102.2015977,-14.28154062,-1.209611257,8.689906268,-30.4805359
52,-5.526927814,-97.52275458,-14.06464614,-18.64140768,11.58497948,-38.00647956
50,-14.06864202,-86.06726673,14.93045759,-21.43123401,12.49555485,-38.77122721
48,8.151408804,-91.14266575,1.752104894,-5.630331404,14.05734938,-37.27304465
46,-12.26640015,-93.87316079,4.166014167,9.216632871,19.82351084,-30.87173854
44,-16.96113855,-98.71166628,0.188262649,-6.942451996,23.39059446,-27.00867856
42,-23.8533379,-112.8708289,-15.59273806,-8.619157293,30.62754027,-25.53581891
40,-16.40300794,-94.05105346,-2.538265633,-18.11153114,-0.44834872,-16.98171907
38,-15.23265251,-102.4115282,15.73069016,-6.363114281,9.467572409,-6.0235638
36,-0.67028473,-98.97124886,9.976405519,-4.535955246,7.109270173,-25.20518245
34,-10.16844163,-78.62404161,5.652401563,-3.928624926,12.25501325,2.274932584
32,1.631801876,-84.30458551,-2.4725758,-9.549230493,16.04535388,-14.84639184
30,-5.391180279,-73.19343346,3.657424943,16.69857133,28.23411013,7.095973585
28,-20.027578,-79.05003222,14.3875427,-1.951438333,42.52534905,14.93644456
26,-5.434156955,-63.35374142,23.14808653,-0.222052432,15.76737077,-13.31129188
24,-22.00926984,-43.16085138,19.99251946,-9.095649201,12.67769352,11.09670834
22,7.796133091,-45.53059978,12.52844326,9.957797331,14.88103955,12.41363302
20,-12.81850577,-33.36218725,19.40958435,0.916707565,10.98832213,20.00290129
18,2.039639521,-55.47779173,-3.083219303,-12.63811271,-3.781366565,25.84115212
16,16.26577017,-21.12558164,-10.72403015,-3.680480602,16.40423346,30.58923378
14,-10.01554491,-33.65972789,23.19217804,4.007156334,9.468539999,31.64719431
12,11.92262407,-2.331414609,5.761510413,15.00171335,11.02011955,0.5332729
10,6.804561849,10.78815132,9.807142352,6.784462506,9.063679361,8.61189232
