Angle (Deg),ABH,AMH,APH,ARH,CBB,CBH,CMB,CMH,CPH,CRB,SMN,SPN
160,5.648496691,1.541086556,33.93241301,0.376564065,1.778132268,18.45944103,29.68690329,5.418489147,40.4640298,40.57669085,125.6558405,697.4969765
158,4.624558534,1.396106765,28.29525001,0.335663848,1.480252327,14.8808659,16.47672666,4.425795313,33.88579929,33.85026517,107.0528281,640.9124608
156,3.813476734,1.236471482,23.74280809,0.305509173,1.253633412,12.25411545,9.726737194,3.676595327,27.78519586,28.00039358,94.27928947,591.8200214
154,3.294708168,1.119569969,20.28796977,0.280592949,1.081603689,10.16864531,5.81902931,3.161799572,23.28480811,23.56603163,84.90563713,550.9294799
152,2.764024308,1.030609766,17.17949846,0.255811044,1.078210307,8.599041765,3.790413245,3.074138706,19.67832977,20.71898393,77.80809488,511.6919364
150,2.34906126,0.930212802,14.75672229,0.237140666,0.978474378,7.199935406,2.959047864,2.669419734,16.49998521,17.88921687,71.87541198,476.7944167
148,2.072354471,0.837965387,14.5909097,0.21813449,0.860886308,6.108045678,2.241278643,2.228727453,13.86700956,15.24953682,67.18424368,448.7408972
146,1.816823231,0.740444734,12.67891863,0.200135708,0.738724549,5.1525537,2.059788965,2.207698089,11.82243169,13.5981089,61.21999684,419.6597429
144,1.572171172,0.649430023,10.98832089,0.184218875,0.640316466,4.351216917,1.881469412,1.900191781,10.11683234,12.06363835,55.8963809,389.4987982
142,1.375504072,0.622036581,9.579544772,0.175756761,0.588235426,3.676498422,1.623104194,1.659471037,8.642740373,10.5206527,50.92097022,359.4399777
140,1.262114513,0.561839493,8.346873972,0.163600867,0.51874486,3.129620649,1.506866263,1.426068204,7.428437674,9.241885494,45.65664102,334.9264815
138,1.167569249,0.498971544,7.29064051,0.14848995,0.455745982,2.652614553,1.422857941,1.225326361,6.464160257,8.022223081,41.39734745,311.8285908
136,1.028859691,0.455621422,6.375649886,0.133043234,0.42092693,2.268706357,1.312696084,1.069801502,5.678530046,7.202269336,37.10131279,288.4586494
134,0.901676884,0.413572489,5.663924108,0.12270065,0.384780033,1.96618644,1.108751351,0.942469857,4.875055316,6.462958568,33.73382552,267.4150187
132,0.817492746,0.369674498,4.911226617,0.112895344,0.339633296,1.669585672,0.951830145,0.835166179,4.846032721,5.617709976,30.29235506,250.0629992
130,0.748785537,0.331460647,4.408011656,0.106649498,0.303633937,1.448518374,0.883672449,0.744578148,4.336958889,4.891422296,27.98935716,235.3190991
128,0.708571421,0.297972164,3.998626563,0.098590342,0.271470575,1.263480671,0.789097042,0.634193244,3.851655304,4.471928551,25.86622357,220.0694574
126,0.63643209,0.268866632,3.628154635,0.092411656,0.253618434,1.106172888,0.723581118,0.561861474,3.481701384,4.048427701,24.00361766,204.9614772
124,0.548686314,0.249417288,3.302173869,0.088785036,0.233848294,0.984058299,0.685011259,0.510019855,3.130467376,3.647466813,22.23202943,192.9961278
122,0.549722427,0.228050404,3.001958135,0.085091256,0.213488001,0.88156697,0.647762286,0.453017183,3.101040753,3.295092067,20.46060821,181.4915988
120,0.517020127,0.215791838,2.754998984,0.08072588,0.194898168,0.794645574,0.598625342,0.418969641,2.850005404,2.916420697,18.77769959,169.2166804
118,0.502255524,0.206204134,2.554788756,0.075621747,0.187226174,0.724259187,0.56771662,0.38261118,2.593650367,2.638427827,17.2719832,156.1402472
116,0.455630462,0.191069257,2.365800926,0.074144235,0.177341104,0.657347083,0.525184104,0.351567832,2.361536941,2.483653418,16.03180464,144.1575686
114,0.420337881,0.176002864,2.197464963,0.071592169,0.165980651,0.614047231,0.492426142,0.325454446,2.167469377,2.170598384,14.8804727,135.0389087
112,0.404990465,0.168401184,2.029195405,0.070517615,0.158161118,0.543339152,0.473669567,0.302422285,2.006666691,2.00179911,13.64046114,123.1679443
110,0.385563356,0.156758971,1.88376907,0.068637145,0.148423586,0.50274152,0.466800962,0.279390124,1.860610984,1.899367503,12.01934435,115.2158887
108,0.366978089,0.145253725,1.70308183,0.068301347,0.139718823,0.465553831,0.448572741,0.263521813,1.687014114,1.801944776,10.81139773,108.6441074
106,0.338484995,0.140459873,1.592517973,0.067965549,0.133669751,0.436215447,0.417928196,0.250426605,1.575637379,1.677724539,9.844940242,103.392369
104,0.321065354,0.135666021,1.495035845,0.067226793,0.125407603,0.403724474,0.380150868,0.239257162,1.464327982,1.530713895,9.219172793,100.2108738
102,0.307790163,0.129502496,1.405057451,0.066085079,0.115522533,0.378246403,0.357167459,0.229551302,1.369179659,1.403488329,8.848421863,96.16039805
100,0.300731647,0.128475242,1.310098702,0.065010525,0.110653767,0.3560496,0.337089999,0.219614349,1.300966459,1.330859561,8.659873304,93.51341423
98,0.287715484,0.125872865,1.230944277,0.063935971,0.107850538,0.337777448,0.312521527,0.2076746,1.223460641,1.28227342,8.425565397,91.89170972
96,0.274440293,0.120805079,1.162148988,0.063197215,0.103276849,0.320470375,0.291651535,0.1991242,1.160095763,1.203633995,8.1237875,90.56830193
94,0.257473951,0.118476636,1.10504093,0.062794257,0.100031005,0.305222136,0.268403949,0.191652228,1.093296658,1.124493682,7.88196437,89.19795405
92,0.248407967,0.114847005,1.056299866,0.062458459,0.096342547,0.289780881,0.256780156,0.177324529,1.036732898,1.082419086,7.670703142,87.66626012
90,0.248731752,0.111011923,1.015660178,0.061383905,0.092801626,0.282317608,0.239608643,0.173010813,0.9906065,1.061632232,7.519563686,86.06609085
88,0.235845103,0.108751964,0.975086895,0.060376511,0.090145936,0.269642911,0.229041559,0.166001025,0.947510302,1.036587829,7.429047018,85.83172687
86,0.228657073,0.106492005,0.936372943,0.059906393,0.088227937,0.26880651,0.213719286,0.161456218,0.90825236,0.982491919,7.402493235,85.77519687
84,0.224706894,0.102930858,0.889690426,0.059906393,0.087195168,0.252979224,0.206850681,0.157527655,0.873640726,0.927895121,7.478146465,85.79959226
82,0.223023211,0.102109055,0.840949362,0.059167637,0.086309938,0.249826634,0.198925368,0.154138307,0.847850346,0.902099386,7.54478143,85.59029664
80,0.217713135,0.102040571,0.808477455,0.058831839,0.084244401,0.25137076,0.194698534,0.150209744,0.81882775,0.883816972,7.580019469,85.79959226
78,0.213374414,0.100465448,0.792208298,0.059167637,0.081883788,0.236830245,0.190207523,0.146666335,0.818693075,0.852511469,7.580019469,86.59639613
76,0.209229964,0.099917579,0.775939142,0.059570595,0.080260866,0.235929505,0.188094106,0.142044497,0.800983231,0.824461738,7.506036288,87.65902562
74,0.208258608,0.099506678,0.763056627,0.059436276,0.079523174,0.236058182,0.185716512,0.139502486,0.779435132,0.795911119,7.398819127,88.54567183
72,0.207222496,0.100191514,0.748846017,0.059570595,0.077900252,0.229045279,0.183867272,0.137037505,0.757617683,0.776376485,7.278074567,88.98714425
70,0.203142803,0.100944833,0.726733245,0.059570595,0.076572407,0.229946019,0.180697147,0.134880647,0.734857503,0.759095847,7.187557898,89.62663992
68,0.194983417,0.099438194,0.706878234,0.059906393,0.07627733,0.226664752,0.180168792,0.132415667,0.714790836,0.73129656,7.157163002,90.5494586
66,0.192975949,0.103889628,0.678457015,0.059167637,0.076572407,0.220102219,0.175941959,0.129873656,0.697821709,0.706502601,7.117916845,90.97494783
64,0.192069351,0.10012303,0.654086483,0.058093083,0.075687177,0.220230896,0.174092719,0.128178982,0.686172268,0.685715747,7.066646334,91.11223499
62,0.196472829,0.100191514,0.644723417,0.058093083,0.074949485,0.218815448,0.170130062,0.128178982,0.679707838,0.680205978,7.011200699,90.84523166
60,0.196731857,0.099849096,0.62646212,0.058093083,0.073916716,0.217078307,0.16669576,0.126561338,0.66428748,0.675197098,6.945901774,90.04977374
58,0.189867612,0.099849096,0.62154817,0.058831839,0.072293795,0.213539686,0.16299728,0.126561338,0.651291283,0.66542978,6.855218101,89.95050974
56,0.19601953,0.096561883,0.617497483,0.05863036,0.071851179,0.213282331,0.160091332,0.125251818,0.642335355,0.653408467,6.739316684,89.25263337
54,0.188896256,0.100944833,0.59339257,0.059167637,0.071703641,0.213668363,0.160091332,0.1219395,0.640853923,0.64489337,6.613728981,88.91664998
52,0.187860144,0.098342456,0.599966637,0.059570595,0.071556103,0.210129742,0.156921206,0.125714001,0.632234683,0.635626941,6.492817417,87.95631288
50,0.183780451,0.102451473,0.597708876,0.059301956,0.070818411,0.211931222,0.154807789,0.125714001,0.628059739,0.62811362,6.372072857,86.86222175
