Angle (Deg),ABH,AMH,APH,ARH,CBB,CBH,CMB,CMH,CPH,CRB,SMN,SPN
160,0.006844,0.006844,0.006844,0.006844,0.006844,0.006844,0.006844,0.006844,0.006844,0.006844,0.006844,0.006844
158,4.059603,4.059603,4.059603,4.059603,4.059603,4.059603,4.059603,4.059603,4.059603,4.059603,4.059603,4.059603
156,3.742766,3.742766,3.742766,3.742766,3.742766,3.742766,3.742766,3.742766,3.742766,3.742766,3.742766,3.742766
154,3.445865,3.445865,3.445865,3.445865,3.445865,3.445865,3.445865,3.445865,3.445865,3.445865,3.445865,3.445865
152,3.170335,3.170335,3.170335,3.170335,3.170335,3.170335,3.170335,3.170335,3.170335,3.170335,3.170335,3.170335
150,2.919842,2.919842,2.919842,2.919842,2.919842,2.919842,2.919842,2.919842,2.919842,2.919842,2.919842,2.919842
148,2.688855,2.688855,2.688855,2.688855,2.688855,2.688855,2.688855,2.688855,2.688855,2.688855,2.688855,2.688855
146,2.480569,2.480569,2.480569,2.480569,2.480569,2.480569,2.480569,2.480569,2.480569,2.480569,2.480569,2.480569
144,2.292919,2.292919,2.292919,2.292919,2.292919,2.292919,2.292919,2.292919,2.292919,2.292919,2.292919,2.292919
142,2.122292,2.122292,2.122292,2.122292,2.122292,2.122292,2.122292,2.122292,2.122292,2.122292,2.122292,2.122292
140,1.969866,1.969866,1.969866,1.969866,1.969866,1.969866,1.969866,1.969866,1.969866,1.969866,1.969866,1.969866
138,1.829166,1.829166,1.829166,1.829166,1.829166,1.829166,1.829166,1.829166,1.829166,1.829166,1.829166,1.829166
136,1.703434,1.703434,1.703434,1.703434,1.703434,1.703434,1.703434,1.703434,1.703434,1.703434,1.703434,1.703434
134,1.589447,1.589447,1.589447,1.589447,1.589447,1.589447,1.589447,1.589447,1.589447,1.589447,1.589447,1.589447
132,1.484901,1.484901,1.484901,1.484901,1.484901,1.484901,1.484901,1.484901,1.484901,1.484901,1.484901,1.484901
130,1.391378,1.391378,1.391378,1.391378,1.391378,1.391378,1.391378,1.391378,1.391378,1.391378,1.391378,1.391378
128,1.306368,1.306368,1.306368,1.306368,1.306368,1.306368,1.306368,1.306368,1.306368,1.306368,1.306368,1.306368
126,1.229718,1.229718,1.229718,1.229718,1.229718,1.229718,1.229718,1.229718,1.229718,1.229718,1.229718,1.229718
124,1.156924,1.156924,1.156924,1.156924,1.156924,1.156924,1.156924,1.156924,1.156924,1.156924,1.156924,1.156924
122,1.093894,1.093894,1.093894,1.093894,1.093894,1.093894,1.093894,1.093894,1.093894,1.093894,1.093894,1.093894
120,1.031838,1.031838,1.031838,1.031838,1.031838,1.031838,1.031838,1.031838,1.031838,1.031838,1.031838,1.031838
118,0.979725,0.979725,0.979725,0.979725,0.979725,0.979725,0.979725,0.979725,0.979725,0.979725,0.979725,0.979725
116,0.932677,0.932677,0.932677,0.932677,0.932677,0.932677,0.932677,0.932677,0.932677,0.932677,0.932677,0.932677
114,0.885921,0.885921,0.885921,0.885921,0.885921,0.885921,0.885921,0.885921,0.885921,0.885921,0.885921,0.885921
112,0.847315,0.847315,0.847315,0.847315,0.847315,0.847315,0.847315,0.847315,0.847315,0.847315,0.847315,0.847315
110,0.812963,0.812963,0.812963,0.812963,0.812963,0.812963,0.812963,0.812963,0.812963,0.812963,0.812963,0.812963
108,0.76276,0.76276,0.76276,0.76276,0.76276,0.76276,0.76276,0.76276,0.76276,0.76276,0.76276,0.76276
106,0.734169,0.734169,0.734169,0.734169,0.734169,0.734169,0.734169,0.734169,0.734169,0.734169,0.734169,0.734169
104,0.708907,0.708907,0.708907,0.708907,0.708907,0.708907,0.708907,0.708907,0.708907,0.708907,0.708907,0.708907
102,0.686824,0.686824,0.686824,0.686824,0.686824,0.686824,0.686824,0.686824,0.686824,0.686824,0.686824,0.686824
100,0.666278,0.666278,0.666278,0.666278,0.666278,0.666278,0.666278,0.666278,0.666278,0.666278,0.666278,0.666278
98,0.647331,0.647331,0.647331,0.647331,0.647331,0.647331,0.647331,0.647331,0.647331,0.647331,0.647331,0.647331
96,0.631543,0.631543,0.631543,0.631543,0.631543,0.631543,0.631543,0.631543,0.631543,0.631543,0.631543,0.631543
94,0.615754,0.615754,0.615754,0.615754,0.615754,0.615754,0.615754,0.615754,0.615754,0.615754,0.615754,0.615754
92,0.601545,0.601545,0.601545,0.601545,0.601545,0.601545,0.601545,0.601545,0.601545,0.601545,0.601545,0.601545
90,0.58916,0.58916,0.58916,0.58916,0.58916,0.58916,0.58916,0.58916,0.58916,0.58916,0.58916,0.58916
88,0.579275,0.579275,0.579275,0.579275,0.579275,0.579275,0.579275,0.579275,0.579275,0.579275,0.579275,0.579275
86,0.569967,0.569967,0.569967,0.569967,0.569967,0.569967,0.569967,0.569967,0.569967,0.569967,0.569967,0.569967
84,0.560494,0.560494,0.560494,0.560494,0.560494,0.560494,0.560494,0.560494,0.560494,0.560494,0.560494,0.560494
82,0.5526,0.5526,0.5526,0.5526,0.5526,0.5526,0.5526,0.5526,0.5526,0.5526,0.5526,0.5526
80,0.544398,0.544398,0.544398,0.544398,0.544398,0.544398,0.544398,0.544398,0.544398,0.544398,0.544398,0.544398
78,0.536528,0.536528,0.536528,0.536528,0.536528,0.536528,0.536528,0.536528,0.536528,0.536528,0.536528,0.536528
76,0.528917,0.528917,0.528917,0.528917,0.528917,0.528917,0.528917,0.528917,0.528917,0.528917,0.528917,0.528917
74,0.521945,0.521945,0.521945,0.521945,0.521945,0.521945,0.521945,0.521945,0.521945,0.521945,0.521945,0.521945
72,0.516307,0.516307,0.516307,0.516307,0.516307,0.516307,0.516307,0.516307,0.516307,0.516307,0.516307,0.516307
70,0.51155,0.51155,0.51155,0.51155,0.51155,0.51155,0.51155,0.51155,0.51155,0.51155,0.51155,0.51155
68,0.506813,0.506813,0.506813,0.506813,0.506813,0.506813,0.506813,0.506813,0.506813,0.506813,0.506813,0.506813
66,0.504371,0.504371,0.504371,0.504371,0.504371,0.504371,0.504371,0.504371,0.504371,0.504371,0.504371,0.504371
64,0.500702,0.500702,0.500702,0.500702,0.500702,0.500702,0.500702,0.500702,0.500702,0.500702,0.500702,0.500702
62,0.498903,0.498903,0.498903,0.498903,0.498903,0.498903,0.498903,0.498903,0.498903,0.498903,0.498903,0.498903
60,0.495761,0.495761,0.495761,0.495761,0.495761,0.495761,0.495761,0.495761,0.495761,0.495761,0.495761,0.495761
58,0.494161,0.494161,0.494161,0.494161,0.494161,0.494161,0.494161,0.494161,0.494161,0.494161,0.494161,0.494161
56,0.491025,0.491025,0.491025,0.491025,0.491025,0.491025,0.491025,0.491025,0.491025,0.491025,0.491025,0.491025
54,0.488953,0.488953,0.488953,0.488953,0.488953,0.488953,0.488953,0.488953,0.488953,0.488953,0.488953,0.488953
52,0.486299,0.486299,0.486299,0.486299,0.486299,0.486299,0.486299,0.486299,0.486299,0.486299,0.486299,0.486299
50,0.486288,0.486288,0.486288,0.486288,0.486288,0.486288,0.486288,0.486288,0.486288,0.486288,0.486288,0.486288
48,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709
46,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709
44,0.4847,0.4847,0.4847,0.4847,0.4847,0.4847,0.4847,0.4847,0.4847,0.4847,0.4847,0.4847
42,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709,0.484709
40,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313
38,0.48315,0.48315,0.48315,0.48315,0.48315,0.48315,0.48315,0.48315,0.48315,0.48315,0.48315,0.48315
36,0.483637,0.483637,0.483637,0.483637,0.483637,0.483637,0.483637,0.483637,0.483637,0.483637,0.483637,0.483637
34,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313
32,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313,0.48313
30,0.483206,0.483206,0.483206,0.483206,0.483206,0.483206,0.483206,0.483206,0.483206,0.483206,0.483206,0.483206
