nm,ABB,ABH,AMB,AMH,APB,APH,ARB,ARH,BlackConstructPaper,BlackDuctTape,BlackElecTape,BlackFelt,BlackFoamBoard,BlackVelcro,CBB,CBH,CMB,CMH,CPB,CPH,DryEraseCardBoard,Flock55,Flock65,FractalBlack,IMN,IPN,IPNThin,IRN,IRNThin,MetalVelvet,PermMarkCardBoard,RhodesLP,Rustoleum,SMN,Soric,SPN,SprayPaint,SRN,SRS05,Valspar,P09,P06,P19,P21,F07,T01-1,T01-2
2500,35.06740262,27.36537345,56.64905609,22.81802138,66.86903367,41.41497543,57.28306302,17.33890147,32.68919836,3.168114354,2.905054503,3.254030273,24.15273578,10.46048067,29.44984013,30.48780804,50.96038436,23.13686124,62.06140203,40.94695137,6.58964567,16.06069525,15.15340531,1.782510503,6.611562037,6.513580905,2.733679468,5.722587304,2.618610265,1.875722231,20.24305445,1.642920043,4.632642881,5.629321571,3.460775874,6.157370697,5.494811386,5.849146616,14.09715,6.949546559,4.204054054,2.893017949,3.92133769,4.653354655,3.69968348,3.77502309,3.331025282
2499,33.85740071,26.2289328,54.53012904,21.81701769,64.2565324,39.62784977,55.14703463,16.59815153,32.93321378,3.234942199,2.909721183,3.276063312,24.36798041,10.54598824,28.30951912,29.3081454,49.02866999,22.25917134,59.700971,39.35343491,6.600816078,15.31321881,14.57614469,1.733098536,6.350307565,6.253468627,2.641007565,5.417547603,2.564970646,1.812192034,20.389592,1.590701804,4.662633956,5.401273035,3.287711893,5.90644761,5.548130125,5.636757068,14.0537,6.970345225,4.004697987,2.766261202,3.742470801,4.475347608,3.525898022,3.54927762,3.163904619
2498,33.22948921,25.68793132,53.54272265,21.31496981,62.94767433,38.80973405,54.08295438,16.17348608,33.2946694,3.346458387,2.872234847,3.290961941,24.58768966,10.62039864,27.72994774,28.73929908,48.08103681,21.80666743,58.53108622,38.5444468,6.673748066,14.9652735,14.29977077,1.689272603,6.293447165,6.098126698,2.603863204,5.249951216,2.558878915,1.799869568,20.60847698,1.58669453,4.713011629,5.29399189,3.175023901,5.85108976,5.595226184,5.515495703,14.01647,7.083394894,3.883116883,2.672196757,3.659090909,4.345419847,3.403455695,3.50887563,3.101129956
2497,33.36682159,25.81266274,53.82584596,21.41888077,63.22061822,39.04587651,54.35005061,16.22513559,33.4421238,3.394469134,2.864881182,3.332666991,24.65150849,10.63027051,27.89865365,28.93649229,48.30446595,21.89720113,58.82102038,38.74777754,6.68729645,14.97879695,14.41447959,1.668109673,6.349838123,6.131465356,2.657103842,5.290148654,2.609272768,1.825526978,20.68456623,1.597374062,4.77482433,5.346310307,3.192606114,5.919254825,5.607814989,5.517457861,13.96494,7.114464438,3.974825175,2.696235943,3.705689036,4.36081193,3.434518998,3.584286649,3.166776227
2496,34.12611749,26.31799054,55.08631282,21.85413168,64.7995655,39.88206994,55.73030867,16.55082269,33.37333854,3.371141044,2.877796955,3.32453794,24.59525888,10.54960754,28.60546439,29.70221671,49.49994136,22.48232351,60.32008642,39.71248077,6.62124673,15.2653072,14.64213625,1.66294963,6.530164956,6.342471738,2.763317088,5.413679971,2.703579805,1.84976283,20.66167675,1.602101232,4.754542082,5.554325278,3.291654776,6.090686161,5.588102904,5.626376072,13.94276,7.149913465,3.939310345,2.746136486,3.77542641,4.418713893,3.526550584,3.730986906,3.250642986
2495,33.39299878,25.72434336,54.04672884,21.41874139,63.62898186,39.14185844,54.71470187,16.23629349,33.40827017,3.31038299,2.864652224,3.354899725,24.58250721,10.45878999,28.12323952,29.17120009,48.59251645,22.05155339,59.19058466,38.96822345,6.590368234,14.93778434,14.26821467,1.652608495,6.369766667,6.252073966,2.795550457,5.392543592,2.620887688,1.758998227,20.66576564,1.564754131,4.80165001,5.527916659,3.296679238,5.98971498,5.613823865,5.492106903,13.99964,7.203756121,4.0625,2.682151183,3.755486044,4.350701224,3.518719512,3.691227632,3.200968311
2494,35.49255735,27.40373308,57.58782375,22.85459633,67.85936922,41.77588842,58.34388822,17.4056511,32.78367003,3.178127689,2.870896084,3.296683594,24.10366625,10.23329679,29.99477268,31.07063665,51.75954229,23.50759952,63.07117732,41.49675459,6.398536588,15.94815457,15.09223663,1.74593505,6.748308427,6.65951748,3.011595455,5.860484406,2.699511342,1.884519241,20.28533009,1.664375305,4.724126974,5.920558419,3.556157135,6.377141424,5.45087928,5.826145414,14.09322,7.127987835,4.307432432,2.871775425,4.047078257,4.618349508,3.737236215,3.96129309,3.444945513
2493,35.92491583,27.68226194,58.45808788,23.06443345,68.77725548,42.22867852,59.13688375,17.65246855,32.54212238,3.053673116,2.898245387,3.293405066,23.93017286,10.15010906,30.43323851,31.45702645,52.47797994,23.8925217,63.89765138,42.02236212,6.349034029,16.06187071,15.14242996,1.804280034,6.800878887,6.703527023,3.021051214,5.981112464,2.682207498,1.90851762,20.12589913,1.662700445,4.697611951,5.993028151,3.628079752,6.427154073,5.401860939,5.903175551,14.20335,7.129698434,4.368,2.863914875,4.115081494,4.631524654,3.780258391,3.992965181,3.504431138
2492,34.52569592,26.69229776,56.30542456,22.20679534,66.1096703,40.70279127,56.85946279,17.06328376,32.47849519,2.957153882,2.913516377,3.257711124,23.96771662,10.12918585,29.30526744,30.19213647,50.49915227,22.97093579,61.42362733,40.39506331,6.383764127,15.49171214,14.58215418,1.781205575,6.507010781,6.400664742,2.875579904,5.750327418,2.583777561,1.840513064,20.05716958,1.620581837,4.673850199,5.698952359,3.552233418,6.220943599,5.401174655,5.733355003,14.21231,7.111925754,4.285416667,2.756090552,3.91676783,4.485128983,3.616623448,3.830428058,3.313890564
2491,35.31142202,27.30005415,57.59030075,22.7400672,67.55815695,41.63960712,58.11489479,17.49178247,32.56127987,2.923100928,2.935007011,3.243908828,24.11289657,10.10245592,29.98078577,30.6930687,51.66268042,23.46407645,62.77156776,41.28572449,6.431962767,15.75137501,14.93325492,1.865334779,6.660495067,6.568669014,2.931549943,5.851448472,2.660626967,1.817835826,20.08330439,1.685006584,4.678992213,5.750189108,3.617796171,6.310706217,5.443003073,5.964826666,14.25518,7.099701065,4.212328767,2.847602432,3.97262852,4.59728776,3.685705484,3.855938753,3.300094492
