nm,Labsphere,SRS05,Delta,WF05-1_MCF,WF05-1,WF05-1 Two Layers,WF05-1 + opaque backing,WF05-2_withBlackBack_MCF,WF05-2 (+ flat mylar),WF05-2_withoutBlackBack_MCF,WF05-2_withoutBlackBack,WF05-3_MCF,WF05-3 (+ textured mylar),WF06-1_MCF,backingratio,WF06-1,WF06-1 nobacking,WF06-2_withBlackBack_MCF,WF06-2 (+ flat mylar),WF06-2_withoutBlackBack_MCF,WF06-2_withoutBlackBack,WF06-3_MCF,WF06-3 (+ textured mylar),srs05duraflect,deltaduraflect,duraflect-mcf,Duraflect,dalitemattewhite-mcf,Da-Lite Hi-Contrast Matte White,dalitedamat-mcf,Da-Lite Da-Mat
2500,0.122,15.1,1.237704918,44.7,36.11523179,34.77414966,32.53333333,49.7,40.15496689,50.3,40.6397351,48.8,39.42781457,51.5,1.110099338,37.48247576,41.60927152,57.2,46.21456954,54.8,44.27549669,56.9,45.97218543,"	14.09715",1.155504098,70.32267,60.85886679,28.26104,24.45775834,10.78108,9.330196245
2499,0.117,15.5,1.324786325,44.5,33.59032258,33.42857143,31.27959184,49.9,37.66645161,50.3,37.9683871,49.1,37.06258065,51.7,1.07387343,36.34055951,39.02516129,57.2,43.17677419,55.1,41.5916129,57.2,43.17677419,"	14.05370",1.20117094,"	70.21180",58.45279606,28.19447,23.4724876,10.74811,8.948026996
2498,0.115,15,1.304347826,44.5,34.11666667,32.76712329,30.79794521,49.4,37.87333333,50.4,38.64,48.9,37.49,51.4,1.107757886,35.57335693,39.40666667,57.1,43.77666667,54.8,42.01333333,56.8,43.54666667,"	14.01647",1.218823478,"	70.17202",57.57357095,28.26804,23.19289093,10.74634,8.816978169
2497,0.116,14.8,1.275862069,44.9,35.19189189,33.00939597,30.8295302,49.7,38.95405405,50.1,39.26756757,49,38.40540541,51.4,1.141499454,35.29260251,40.28648649,57.2,44.83243243,54.9,43.02972973,56.7,44.44054054,"	13.96494",1.203874138,"	70.04747",58.18504426,28.24854,23.46469544,10.78395,8.957705511
2496,0.119,13.9,1.168067227,44.5,38.0971223,33.90684932,31.95068493,49.8,42.63453237,50.3,43.06258993,48.9,41.86402878,51.3,1.192372632,36.83303679,43.91870504,57,48.79856115,54.6,46.74388489,56.8,48.62733813,"	13.94276",1.171660504,"	69.95885",59.70914761,28.24443,24.10632594,10.76005,9.183590265
2495,0.117,15.3,1.307692308,44.5,34.02941176,33.8,31.76875,49.4,37.77647059,50.2,38.38823529,48.7,37.24117647,51.2,1.071159922,36.55191012,39.15294118,56.9,43.51176471,54.7,41.82941176,56.8,43.43529412,"	13.99964",1.196550427,"	69.97268",58.47867202,28.19648,23.5648071,10.75226,8.986048356
2494,0.125,15.2,1.216,44.4,36.51315789,35.45918367,33.24829932,49.5,40.70723684,50,41.11842105,48.7,40.04934211,51.5,1.098196258,38.56503187,42.35197368,56.8,46.71052632,54.3,44.65460526,56.7,46.62828947,"	14.09322",1.1274576,"	69.96542",62.05592122,28.09462,24.91856013,10.75527,9.539400861
2493,0.126,14.9,1.182539683,45,38.05369128,36.14896552,33.80275862,49.8,42.11275168,50.2,42.45100671,48.8,41.26711409,51.1,1.125756975,38.38491034,43.21208054,57.2,48.3704698,54.8,46.3409396,56.9,48.11677852,"	14.20335",1.12725,"	69.98140",62.08152584,28.02962,24.8654868,10.75371,9.539773786
2492,0.121,16.2,1.338842975,43.9,32.78950617,33.78255034,31.50872483,49.1,36.67345679,49.8,37.1962963,48.5,36.22530864,50.9,1.040648466,36.53289508,38.01790123,56.8,42.42469136,54.3,40.55740741,56.4,42.12592593,"	14.21231",1.174571074,"	69.82920",59.45080849,27.89255,23.74700911,10.661,9.076504805
2491,0.123,15.3,1.243902439,44.2,35.53333333,35.95384615,33.63146853,49.4,39.71372549,49.8,40.03529412,48.3,38.82941176,51.2,1.056550156,38.9577192,41.16078431,56.5,45.42156863,54.1,43.49215686,56.5,45.42156863,"	14.25518",1.158957724,"	69.69652",60.13724106,27.81926,24.00368834,10.62966,9.171740939
2490,0.12,15.7,1.308333333,44.2,33.78343949,34.58333333,32.41666667,49.3,37.68152866,49.6,37.91082803,48.6,37.14649682,51,1.042162658,37.40384615,38.98089172,56.7,43.33757962,54.6,41.73248408,56.4,43.10828025,"	14.17450",1.181208333,"	69.53420",58.86700765,27.78319,23.52099051,10.53584,8.919544252
2489,0.121,14.3,1.181818182,44.8,37.90769231,34.87152778,32.60277778,49.4,41.8,50.1,42.39230769,48.6,41.12307692,51,1.162713575,37.11476934,43.15384615,56.4,47.72307692,54.3,45.94615385,56.4,47.72307692,"	14.07932",1.163580165,"	69.34267",59.59423516,27.71986,23.82290523,10.46904,8.997265777
2488,0.13,15.3,1.176923077,43.8,37.21568627,37.13013699,34.6369863,48.9,41.54901961,49.6,42.14379085,48.3,41.03921569,50.7,1.074449317,40.09349784,43.07843137,56.2,47.75163399,54.1,45.96732026,55.9,47.49673203,"	14.01562",1.078124615,"	69.16056",64.1489481,27.70948,25.70155584,10.40399,9.650081124
2487,0.12,15.9,1.325,44.2,33.35849057,33.79591837,31.42857143,49.3,37.20754717,49.5,37.35849057,48.4,36.52830189,50.5,1.061406518,35.90820944,38.11320755,56.1,42.33962264,54,40.75471698,55.9,42.18867925,"	14.00684",1.167236667,"	68.99802",59.11227943,27.67145,23.70680325,10.38423,8.896422034
2486,0.124,15.9,1.282258065,44.3,34.54842767,35.56388889,33.49722222,48.7,37.97987421,49.3,38.44779874,48,37.43396226,50.7,1.031381869,38.33655004,39.53962264,56.3,43.90691824,53.8,41.9572327,55.6,43.36100629,"	13.98488",1.127812903,"	68.99386",61.17491634,27.60419,24.47585936,10.40899,9.22935885
2485,0.119,15.4,1.294117647,43.9,33.92272727,34.2125,31.98125,49,37.86363636,49.4,38.17272727,48.2,37.24545455,50.5,1.060706735,36.78936503,39.02272727,56,43.27272727,53.8,41.57272727,55.7,43.04090909,"	14.05692",1.181253782,"	68.92048",58.34519311,27.48897,23.27101122,10.38109,8.788196205
2484,0.124,14.3,1.153225806,44,38.15384615,35.00680272,32.64489796,48.9,42.4027972,49.6,43.00979021,48,41.62237762,50.5,1.168753727,37.46743971,43.79020979,56.1,48.64615385,53.8,46.65174825,55.9,48.47272727,"	14.15333",1.141397581,"	68.94248",60.40181017,27.39989,24.00556166,10.36738,9.083057627
