nm,P09,P06,P19,P21,F07,T01-1,T01-2
2500,4.204054054,2.893017949,3.92133769,4.653354655,3.69968348,3.77502309,3.331025282
2499,4.004697987,2.766261202,3.742470801,4.475347608,3.525898022,3.54927762,3.163904619
2498,3.883116883,2.672196757,3.659090909,4.345419847,3.403455695,3.50887563,3.101129956
2497,3.974825175,2.696235943,3.705689036,4.36081193,3.434518998,3.584286649,3.166776227
2496,3.939310345,2.746136486,3.77542641,4.418713893,3.526550584,3.730986906,3.250642986
2495,4.0625,2.682151183,3.755486044,4.350701224,3.518719512,3.691227632,3.200968311
2494,4.307432432,2.871775425,4.047078257,4.618349508,3.737236215,3.96129309,3.444945513
2493,4.368,2.863914875,4.115081494,4.631524654,3.780258391,3.992965181,3.504431138
2492,4.285416667,2.756090552,3.91676783,4.485128983,3.616623448,3.830428058,3.313890564
2491,4.212328767,2.847602432,3.97262852,4.59728776,3.685705484,3.855938753,3.300094492
2490,4.220689655,2.861042142,3.862575327,4.518390247,3.606226106,3.760361212,3.22187026
2489,4.333108108,3.000636237,3.936356707,4.602057927,3.612631579,3.757265834,3.221608714
2488,4.536912752,3.155051477,4.245815465,4.978627749,3.920114512,4.088534792,3.458691089
2487,4.187919463,2.900801176,3.932081225,4.632337653,3.616797542,3.773090861,3.173195382
2486,4.077852349,3.047523756,4.084413068,4.756423034,3.805443949,3.937692136,3.293055071
2485,3.808,2.904446171,3.948856807,4.534116184,3.704879224,3.758574211,3.175405708
2484,4.302040816,2.919705104,4.107142365,4.696439149,3.843099274,3.883957768,3.279067753
2483,4.166666667,2.941116425,4.177881297,4.72394755,3.87289836,3.875711652,3.326093046
2482,4.554482759,2.892064954,4.178692711,4.815971839,3.906342407,3.97115075,3.408319682
2481,3.873648649,2.654104341,3.828073216,4.399161062,3.574754211,3.661998513,3.130745194
2480,4.222818792,2.7625314,3.953681941,4.556115708,3.678632772,3.781637946,3.22537767
2479,4.145945946,2.707714258,3.894986072,4.473481894,3.570488657,3.701898812,3.203989167
2478,4.214583333,2.672407248,3.869858156,4.501182033,3.603210063,3.728036563,3.185893615
2477,4.093877551,2.723150763,3.802194902,4.45788706,3.606820061,3.645670767,3.165483104
2476,4.761904762,2.943486813,3.981372277,4.772270015,3.886858798,3.886489876,3.350298036
2475,4.273972603,2.916209272,3.856254319,4.558673117,3.716123677,3.776825618,3.203824662
2474,4.181081081,2.797069734,3.825204819,4.485542169,3.697470629,3.721142456,3.190118501
2473,3.926490066,2.818006576,3.836198814,4.537708534,3.689065317,3.723995883,3.244521977
2472,4.453472222,2.817332258,3.85618148,4.508612011,3.713120789,3.741750265,3.248557035
2471,4.066216216,2.732741298,3.828484387,4.415093817,3.59804085,3.650561599,3.16526443
2470,4.427083333,2.857951244,4.077572486,4.658847139,3.804688589,3.882272234,3.344347789
2469,4.143835616,2.891983512,3.97044352,4.49955648,3.676841959,3.72646989,3.206162704
2468,4.031756757,2.813440107,3.796453018,4.392657125,3.548327446,3.649463268,3.14312474
2467,4.160839161,2.866908229,3.808361527,4.456645723,3.609110286,3.76174708,3.229877142
2466,4.115646259,2.879233983,3.877809202,4.537187004,3.69606942,3.835041486,3.313470619
2465,4.268918919,2.758900025,3.760369044,4.370180391,3.563240132,3.743820278,3.284830944
2464,4.060958904,2.830712744,3.85890994,4.469391818,3.690224735,3.848983714,3.393115771
2463,4.156849315,2.923157963,3.773867142,4.393871255,3.664774381,3.765045275,3.376107902
2462,4.267586207,3.016073169,3.787403846,4.416730769,3.724891533,3.75088439,3.325926692
2461,4.313103448,3.111814418,3.802420575,4.367184706,3.707885506,3.740727894,3.246111656
2460,4.149659864,3.229587083,3.993902691,4.506049136,3.875716588,3.860034887,3.282491341
2459,4.201388889,3.19066807,3.951905188,4.44714394,3.802446355,3.818692412,3.236359922
2458,4.178082192,3.224384154,3.988639021,4.459321917,3.875962206,3.902932231,3.243088732
2457,4.425,2.973040882,3.880154515,4.392136304,3.756325176,3.816360553,3.124530139
2456,4.247260274,2.811325506,3.857142857,4.366576819,3.713231834,3.77897067,3.138538132
2455,4.195862069,2.816840641,3.839593417,4.378398562,3.677119701,3.76543107,3.203219984
2454,4.297222222,2.928443593,3.91397537,4.454884461,3.662876836,3.797185019,3.328198932
2453,4.20952381,2.966862019,3.85937046,4.473510896,3.63544295,3.776600424,3.39616231
2452,4.172413793,3.044230157,3.902386403,4.552924037,3.681801701,3.803635879,3.483245463
2451,3.885714286,2.940125135,3.832776546,4.414250069,3.634821677,3.751458336,3.450587049
2450,3.926712329,2.854598716,3.775057208,4.278073643,3.552351838,3.679908839,3.372585432
2449,4.137931034,2.907061716,3.847695391,4.309584687,3.703909451,3.830333254,3.435181371
2448,4.220689655,2.930608971,3.843516727,4.330384296,3.781530123,3.899877532,3.369748434
2447,4.163265306,2.94108598,3.830705394,4.351037344,3.825615353,3.918850836,3.332975433
2446,4.391666667,3.015931441,3.953548387,4.566021505,4.004904556,4.067020435,3.361757658
2445,4.357746479,2.910593369,3.737640527,4.405725191,3.761212966,3.845829572,3.237298528
2444,4.185517241,2.955534014,3.732508834,4.420965842,3.731609035,3.80406218,3.268274334
2443,4.27972028,2.93367951,3.791146741,4.513070756,3.738815331,3.789930671,3.320357874
2442,4.484615385,2.939964743,3.851577916,4.573801693,3.705730181,3.796145123,3.379962292
2441,4.109589041,2.927277643,3.869422067,4.530157618,3.640477512,3.779150732,3.405693689
2440,4.477777778,3.073779142,4.035898153,4.610100727,3.730683713,3.893790171,3.492713302
2439,4.150344828,3.014721734,3.827672342,4.357075077,3.588837793,3.735023849,3.301302857
2438,4.269444444,3.05144762,3.718010865,4.297283744,3.588972641,3.709916288,3.235970565
2437,4.185517241,3.173765694,3.781262136,4.401019417,3.75261103,3.806623379,3.30419273
